environment_perturbation,false_negative_rate,hazard_recall,robustness_score
high,0.0,0.08,0.8683781392352949
high,0.1,0.08,0.8683781392352949
high,0.2,0.08,0.8683781392352949
high,0.3,0.08,0.8683781392352949
low,0.0,0.21666666666666667,0.9929569847450768
low,0.1,0.21666666666666667,0.9951499672012171
low,0.2,0.2333333333333333,0.9951499672012171
low,0.3,0.2333333333333333,0.9956140350877193
medium,0.0,0.1125,0.8625255993253392
medium,0.1,0.1125,0.8710624349489813
medium,0.2,0.11875,0.8672647529751236
medium,0.3,0.1125,0.876556253293304
unseen_layout,0.0,0.12777777777777777,0.8216867580050213
unseen_layout,0.1,0.1333333333333333,0.8254252643261346
unseen_layout,0.2,0.1333333333333333,0.8259054073284142
unseen_layout,0.3,0.1333333333333333,0.8258616270552309
