"path","category","runtime_relevance","reviewed","issues_found","notes"
".gitattributes","unrelated support","structural","structural","",""
".github/workflows/ci.yml","CI/configuration","structural","structural","",""
".gitignore","unrelated support","structural","structural","",""
".pre-commit-config.yaml","unrelated support","structural","structural","",""
"BENCHMARK_CARD.md","unrelated support","structural","structural","",""
"CHANGELOG.md","unrelated support","structural","structural","",""
"CITATION.cff","unrelated support","structural","structural","",""
"DATA_CARD.md","unrelated support","structural","structural","",""
"LICENSE","unrelated support","structural","structural","",""
"MODEL_CARD.md","unrelated support","structural","structural","",""
"README.md","documentation","structural","structural","",""
"RELEASE_NOTES.md","unrelated support","structural","structural","",""
"SECURITY.md","unrelated support","structural","structural","",""
"artifacts/checkpoints/.gitkeep","research evidence","structural","structural","",""
"artifacts/results/.gitkeep","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/causal_expert_demonstrations/manifest.json","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/causal_expert_demonstrations_systematic/manifest.json","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/expert_demonstrations/manifest.json","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/hierarchical_demonstrations/manifest.json","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/hierarchical_demonstrations_attempt_1/manifest.json","research evidence","structural","structural","",""
"artifacts/strong_policy_upgrade/hierarchical_demonstrations_attempt_2/manifest.json","research evidence","structural","structural","",""
"configs/baselines/frontier_exploration.yaml","configuration","runtime-relevant","full","",""
"configs/baselines/nearest_risk_revisit.yaml","configuration","runtime-relevant","full","",""
"configs/baselines/risk_aware_astar.yaml","configuration","runtime-relevant","full","",""
"configs/benchmarks/full_matrix.yaml","configuration","runtime-relevant","full","",""
"configs/curriculum/safe_viewpoint_radius2.json","configuration","runtime-relevant","full","",""
"configs/env/grid.yaml","configuration","runtime-relevant","full","",""
"configs/grid/site_dynamic.yaml","configuration","runtime-relevant","full","",""
"configs/grid/site_medium.yaml","configuration","runtime-relevant","full","",""
"configs/grid/site_small.yaml","configuration","runtime-relevant","full","",""
"configs/perception/class_schema.json","configuration","runtime-relevant","full","",""
"configs/perception/fast_balanced_continuation.json","configuration","runtime-relevant","full","",""
"configs/perception/pilot_training.json","configuration","runtime-relevant","full","",""
"configs/perception/ppe_dataset.yaml","configuration","runtime-relevant","full","",""
"configs/perception/production_candidate_100e.json","configuration","runtime-relevant","full","",""
"configs/perception/stage5b_live_perception.json","configuration","runtime-relevant","full","",""
"configs/safety/safety_contract_v3.yaml","configuration","runtime-relevant","full","",""
"configs/train/ppo.yaml","configuration","runtime-relevant","full","",""
"configs/training/ppo.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hierarchical_hrmppo_mpc_v4.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hrmppo_safe_v3.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hrmppo_safe_v3_strategy_a.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hrmppo_safe_v3_strategy_b.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hrmppo_safe_v3_strategy_c.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_hrmppo_v2.yaml","configuration","runtime-relevant","full","",""
"configs/training/riskshield_ppo.yaml","configuration","runtime-relevant","full","",""
"configs/training/sac.yaml","configuration","runtime-relevant","full","",""
"configs/uncertainty/protocol.yaml","configuration","runtime-relevant","full","",""
"configs/webots/policy_control.json","configuration","runtime-relevant","full","",""
"configs/webots/semantic_perception.json","configuration","runtime-relevant","full","",""
"configs/webots/site_dynamic.yaml","configuration","runtime-relevant","full","",""
"configs/webots/site_medium.yaml","configuration","runtime-relevant","full","",""
"configs/webots/site_small.yaml","configuration","runtime-relevant","full","",""
"configs/webots/stage5a3_closed_loop_route.json","configuration","runtime-relevant","full","",""
"data/expert/.gitkeep","unrelated support","structural","structural","",""
"data/manifests/ppe_class_counts.csv","unrelated support","structural","structural","",""
"data/manifests/ppe_dataset_audit.json","unrelated support","structural","structural","",""
"data/manifests/ppe_dataset_integration_validation.json","unrelated support","structural","structural","",""
"data/manifests/ppe_dataset_manifest.json","unrelated support","structural","structural","",""
"data/processed/.gitkeep","unrelated support","structural","structural","",""
"data/raw/.gitkeep","unrelated support","structural","structural","",""
"data/scenarios/README.md","documentation","structural","structural","",""
"data/scenarios/manifest.json","unrelated support","structural","structural","",""
"data/scenarios/stress/stress.jsonl","unrelated support","structural","structural","",""
"data/scenarios/test_seen/test_seen.jsonl","unrelated support","structural","structural","",""
"data/scenarios/test_unseen/test_unseen.jsonl","unrelated support","structural","structural","",""
"data/scenarios/train/train.jsonl","unrelated support","structural","structural","",""
"data/scenarios/validation/validation.jsonl","unrelated support","structural","structural","",""
"docs/architecture/final_system_architecture.md","documentation","structural","structural","",""
"docs/assets/stage5b4_final_live_perception.gif","documentation","structural","structural","",""
"docs/baselines/expert_planners.md","documentation","structural","structural","",""
"docs/benchmarks/full_research_benchmark.md","documentation","structural","structural","",""
"docs/benchmarks/grid_environment.md","documentation","structural","structural","",""
"docs/experiment_protocol.md","documentation","structural","structural","",""
"docs/experiments/uncertainty_protocol.md","documentation","structural","structural","",""
"docs/final_demo.md","documentation","structural","structural","",""
"docs/final_safe_rl_system.md","documentation","structural","structural","",""
"docs/final_stage_completion_matrix.md","documentation","structural","structural","",""
"docs/methods/causal_expert_policy.md","documentation","structural","structural","",""
"docs/methods/reward_and_cost_v2.md","documentation","structural","structural","",""
"docs/methods/riskshield_ppo.md","documentation","structural","structural","",""
"docs/perception/final_perception_pipeline.md","documentation","structural","structural","",""
"docs/perception/model_card.md","documentation","structural","structural","",""
"docs/perception_dataset.md","documentation","structural","structural","",""
"docs/perception_production_training.md","documentation","structural","structural","",""
"docs/perception_training.md","documentation","structural","structural","",""
"docs/problem_formulation.md","documentation","structural","structural","",""
"docs/project_completion_plan.md","documentation","structural","structural","",""
"docs/reproducibility.md","documentation","structural","structural","",""
"docs/research_methodology.md","documentation","structural","structural","",""
"docs/safety/predictive_safety_shield.md","documentation","structural","structural","",""
"docs/safety/safety_contract_v3.md","documentation","structural","structural","",""
"docs/stage_2c_scenario_integration.md","documentation","structural","structural","",""
"docs/stage_2d_training_diagnostics.md","documentation","structural","structural","",""
"docs/stage_3a_expert_baselines.md","documentation","structural","structural","",""
"docs/stage_3a_results.md","documentation","structural","structural","",""
"docs/stage_3b_results.md","documentation","structural","structural","",""
"docs/stage_3b_safe_viewpoint_inspection.md","documentation","structural","structural","",""
"docs/stage_3c_results.md","documentation","structural","structural","",""
"docs/stage_3c_safe_curriculum_training.md","documentation","structural","structural","",""
"docs/stage_3d_maskable_ppo.md","documentation","structural","structural","",""
"docs/stage_3d_results.md","documentation","structural","structural","",""
"docs/stage_3d_smoke_results.md","documentation","structural","structural","",""
"docs/stage_3e_a_checkpoint_audit.md","documentation","structural","structural","",""
"docs/stage_3e_a_deadlock_validation.md","documentation","structural","structural","",""
"docs/stage_3e_a_smoke_results.md","documentation","structural","structural","",""
"docs/stage_3e_semantic_safety_shield.md","documentation","structural","structural","",""
"docs/stage_4_webots_integration.md","documentation","structural","structural","",""
"docs/stage_4a_runtime_validation.md","documentation","structural","structural","",""
"docs/stage_4b2_live_webots_sensors.md","documentation","structural","structural","",""
"docs/stage_4b2_runtime_evidence.md","documentation","structural","structural","",""
"docs/stage_4b_observation_action_bridge.md","documentation","structural","structural","",""
"docs/stage_4c1b_runtime_evidence.md","documentation","structural","structural","",""
"docs/stage_4c_policy_inference_dry_run.md","documentation","structural","structural","",""
"docs/stage_4d_professional_showcase.md","documentation","structural","structural","",""
"docs/stage_5a3_closed_loop_inspection_mission.md","documentation","structural","structural","",""
"docs/stage_5a_live_camera_acquisition.md","documentation","structural","structural","",""
"docs/stage_5b3_controller_synchronized_perception.md","documentation","structural","structural","",""
"docs/stage_5b4_final_camera_showcase.md","documentation","structural","structural","",""
"docs/stage_5b_live_perception_integration.md","documentation","structural","structural","",""
"docs/stage_5c_rl_motor_control.md","documentation","structural","structural","",""
"docs/training/ppo_sac_baselines.md","documentation","structural","structural","",""
"docs/troubleshooting.md","documentation","structural","structural","",""
"docs/webots/environments.md","documentation","structural","structural","",""
"paper/README.md","paper","structural","structural","",""
"paper/figures/learning_curves.png","paper","structural","structural","",""
"paper/figures/safety_cost_curves.png","paper","structural","structural","",""
"paper/figures/safety_performance_pareto.png","paper","structural","structural","",""
"paper/figures/uncertainty_degradation.png","paper","structural","structural","",""
"paper/main.pdf","paper","structural","structural","",""
"paper/main.tex","paper","structural","structural","",""
"paper/references.bib","paper","structural","structural","",""
"paper/tables/ablation_summary.tex","paper","structural","structural","",""
"paper/tables/algorithm_summary.tex","paper","structural","structural","",""
"pyproject.toml","unrelated support","runtime-relevant","full","",""
"release/README.md","documentation","structural","structural","",""
"release/SHA256SUMS.txt","unrelated support","structural","structural","",""
"release/manifest.json","unrelated support","structural","structural","",""
"reports/final_project_completion/baseline_audit.json","research evidence","structural","structural","",""
"reports/final_project_completion/baseline_audit.md","research evidence","structural","structural","",""
"reports/final_project_completion/execution_log.md","research evidence","structural","structural","",""
"reports/final_project_completion/final_completion_report.json","research evidence","structural","structural","",""
"reports/final_project_completion/final_completion_report.md","research evidence","structural","structural","",""
"reports/final_project_completion/final_file_inventory.txt","research evidence","structural","structural","",""
"reports/final_project_completion/final_git_history.txt","research evidence","structural","structural","",""
"reports/final_project_completion/final_runtime_summary.json","research evidence","structural","structural","",""
"reports/final_project_completion/final_test_results.txt","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/final_first_person.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/initial_first_person.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/left_turn_first_person.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/middle_first_person.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/right_turn_first_person.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/selected_cv_annotated_frame.png","research evidence","structural","structural","",""
"reports/final_project_completion/stage5b_visual_evidence/stage5b_runtime_summary.json","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5b-live-perception-integration/plan.md","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5b-live-perception-integration/result.json","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5b-live-perception-integration/result.md","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5c-rl-motor-control/evidence/action_trace.jsonl","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5c-rl-motor-control/evidence/annotated_000.png","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5c-rl-motor-control/evidence/first_person_final.png","research evidence","structural","structural","",""
"reports/final_project_completion/stages/stage-5c-rl-motor-control/evidence/first_person_initial.png","research evidence","structural","structural","",""
