path,file_type,size_bytes,sha256_or_git_blob,review_method,status,issues_found,action_taken,binary_validated,documentation_current,security_reviewed,test_coverage_assessed
.gitattributes,text,142,f3a3a092668e12a377595c7bf82985b1a67d20487ca5de764b98f0abc0d9f822,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
.github/workflows/ci.yml,text,1216,238f2816c8ebe7d83598aeab5c58add2c993628005da57e13851c29f52a34300,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
.gitignore,text,3985,16fc90fd26798f69ced83ce94dd5a50c1fae93eb4c76214a1d158d6cb125fd26,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
.pre-commit-config.yaml,text,158,15cc3cf893245c2d5035a5185aad8bf2522a67861fff7ecc76b17ca85498dcea,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
BENCHMARK_CARD.md,text,627,7d46f1ec69964dddd3a4256ad3aaf7d0389993c56cd459607b1b9af2bd51db4f,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
CHANGELOG.md,text,533,4bb52d38c6448028c6a70561372cd1e0ad7bb38611b0efffa879dfab77711ddf,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
CITATION.cff,text,262,a5a940905a3de21102bb391e68f729603e94e078f66d1cf511f4c6b203067f77,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
DATA_CARD.md,text,686,540fe5c0d5c4e5c898255fd1ea8fc2a35c938b11b5230ccf0932a36c49ea817b,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
LICENSE,text,672,de6121a786de2429b0b21f471c9451deeb779ff1b3422c340f651a0770eb9099,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
MODEL_CARD.md,text,1373,a59b2067dcc5ed439cb9dcac8af66725e2d85f9991db1c9f766c6c697d7c7f7a,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
README.md,text,4892,94fd008320786403b84585082fd94d18d8ca18001bf2d7a33bb433dfa36b6f1d,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
RELEASE_NOTES.md,text,465,a37172e8e640933e6c6fd7e3ccf0aa68bb1ca53df35a3753e6ffd99ed0476a50,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
SECURITY.md,text,483,f482067e63f705bd51155cbb015dca18f9117f7b8455c5aa0ac927a4964f2179,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/checkpoints/.gitkeep,text,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/results/.gitkeep,text,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/causal_expert_demonstrations/manifest.json,text,7642,953b8c863ce46af99956be096c76b463bb107308485e57a9921904fd40f22141,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/causal_expert_demonstrations_systematic/manifest.json,text,7968,713b2093522b217902e94397a8ec0b3cc68124be81bff5eb891d6b6ee4ffe616,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/expert_demonstrations/manifest.json,text,3518,8bab5d564cbfd079898b4d599a3968ec22a2b0138140f4ae2a159649fb2a18d3,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/hierarchical_demonstrations/manifest.json,text,2575,b207907effaeb74f10d88d64928639b83de54f0639315644906a31e05341a5a1,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/hierarchical_demonstrations_attempt_1/manifest.json,text,2578,48c43f37ae042a1a09831c01df7bf8f80a25d5db1dff3c3f8781ef5b1077f366,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
artifacts/strong_policy_upgrade/hierarchical_demonstrations_attempt_2/manifest.json,text,2574,d57b64bc022012c37be288b075fca22904f1131004bd1c82e26fdba7c423a878,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/baselines/frontier_exploration.yaml,text,106,1a2183019ecab9dc2797cd95025ab2d1b4399c5d86af7c8ad5cfddff15fe9eaf,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/baselines/nearest_risk_revisit.yaml,text,106,b88c3a51032195d680dd2520099e46c2cbba86588645635bea624f63adafe8e4,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/baselines/risk_aware_astar.yaml,text,102,ae571e81c9672a87384d70545cfc313321c8806f0dfbaa91438a3b9a486d92e7,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/benchmarks/full_matrix.yaml,text,613,7e3d3288eeac97d1f4967b98444b6c5d2d95e41453b112fdffb3bd3f81f2e1ae,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/curriculum/safe_viewpoint_radius2.json,text,601774,b981931ff11808b181cbe5ada511457e9ca12fb51899e34092a76f91bbcd59d0,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/env/grid.yaml,text,98,1597cc087755063736046f97df7a686336a0277ea1b21105670a3b29bc211536,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/grid/site_dynamic.yaml,text,283,afce83aa97f67fb0c70a1e31dd8fe4b2400e4d8082bbff084ad60afab43d4ea4,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/grid/site_medium.yaml,text,283,d057c29ae734c96db268c3812c409214e248d257dc771e087dcb11670d090d1d,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/grid/site_small.yaml,text,281,389cf0378d321545993c65b3593d2f20d43123e512ae5e2b6ec5d939432f9d05,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/class_schema.json,text,6191,9510d76a155639b2573705f34e318361b304d8b26e8afafd915165cca3d14959,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/fast_balanced_continuation.json,text,1707,3702618b9b4442b13ad2b0ab94e9254d4d73a24f82be423ce479d6655e66202f,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/pilot_training.json,text,1009,3ca0c9ce28a92d3c3e5a0b2b601f877e1c61ba26842161f7bd10890b2cde574f,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/ppe_dataset.yaml,text,638,6b2548b23d24d080bead43c0512891902287e6a4176e1459b350b42923f9ef86,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/production_candidate_100e.json,text,1581,cf1b58be4b49c0a2c59f949fb475b4e2e6ae9a6c8f3435e9e50478ace4f6c28e,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/perception/stage5b_live_perception.json,text,1870,0f3b1dbb83276e700c214a319baa168162503f4dde0828ea56c27a088d028889,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/safety/safety_contract_v3.yaml,text,1420,f5c39562b66dc995db53b4e72bfc8d1dd9bb0c08f0dc4e6da75513faf4de6825,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/train/ppo.yaml,text,181,7fda3976cf4f1124899ae677fc5167eb7641f4fd61c621b76eb85eeaba0eea18,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/ppo.yaml,text,360,d888e8d6d502f5a4580a471473ec5113457588d362b9a5b14994edb4c02c44ee,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hierarchical_hrmppo_mpc_v4.yaml,text,815,efd8ce37fd124c4a257ed0b36c6f4bdd530ecc95d7ebc8e4062b664c5e1596be,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hrmppo_safe_v3.yaml,text,809,b53feeaca4b7332acd5f22ef85aa54266196dc504a2096cd4d76f5d1089b5e48,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hrmppo_safe_v3_strategy_a.yaml,text,730,ec44a9d9c66fa2eaeabc5bdcbaccc1640ef408d9b42f9a36ed2e07bcee24e7dc,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hrmppo_safe_v3_strategy_b.yaml,text,733,fb3de39278e8470b6dc0f63f2d443c1758e760b0e3ec26504249c82c9a68d703,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hrmppo_safe_v3_strategy_c.yaml,text,734,37c414b020999128912c77eb83cdd177915d1134514e583d7db150516791d929,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_hrmppo_v2.yaml,text,976,2c11b42771e37c5b5c738b1bbae23cb5ee78b46379bfc85b7d6fb65f079c383e,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/riskshield_ppo.yaml,text,559,b9bdf26bd379f0cd11159024ddf2eedb93875ba0fcc3960a0aeef919b69f9214,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/training/sac.yaml,text,406,eb531402ca209661f155145874460361f7c52969159b55edde44567479d4e7a2,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/uncertainty/protocol.yaml,text,493,50049365ff0234c64c074f54fb48079cf4ff853d83b7f13cba8dbf40c1583eee,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/policy_control.json,text,610,8516f7d344ca88b9310286f85482c8381c3bc1400f1d59ecd9960fba310d8fab,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/semantic_perception.json,text,357,7df3cfde1d214d6f3bdb80d3f4af8d2264c2dffd9ed62da9b853750cd27d0553,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/site_dynamic.yaml,text,269,86be3afb3c5b5611f05fb681c7d8c28ee813abf49baff23d514ad35be62c1d43,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/site_medium.yaml,text,268,eda3e992e37b718237b11d7cd77dfb346c609da08b11caf0aff8ebf8e3b94d1e,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/site_small.yaml,text,266,3ba6dee2a9f749b862e09e948668ade4ad56f836068a3447c2a3c00337ffaad1,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
configs/webots/stage5a3_closed_loop_route.json,text,1509,dae7218246d081e936ce243c6093420afe0231b13c0785fb472c08f7ea98d3ec,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/expert/.gitkeep,text,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/manifests/ppe_class_counts.csv,text,355,65fe284f8062bd02c5dd7d87ad944ec87303e048cf4557e4c0f82617712f8ec4,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/manifests/ppe_dataset_audit.json,text,4217,7515f66a0b453ac7aa424d9210f202b4df29917c8a86f30df32b5b9b7b1130b0,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/manifests/ppe_dataset_integration_validation.json,text,2343,e21ac6899307db5caaef89304b8a71c3bcb9c26f8f6762f8b1bd9369d89dcb73,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/manifests/ppe_dataset_manifest.json,text,2413,6f9ff266bdeed581ec33481cc6aeef104c594f81e5d21a73e2903df56eb5d273,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/processed/.gitkeep,text,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/raw/.gitkeep,text,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/README.md,text,657,f53ef46d6f5f60ab0dd0b37d4a8041eeba78fb02c0c0bea9ae61b4b4c1a3fce5,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/manifest.json,text,2942,4ce0e98d2f55aebdf977013ea8030a2fda5ece0d30b876d2a657963d30d07f07,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/stress/stress.jsonl,text,170115,84e2de901d3f49bc63912a56d94b40cb9dbc76ec37f2e278cf64576cdf0b9456,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/test_seen/test_seen.jsonl,text,81157,cfae31e7df769d50776c0654f7f4346513d18c165a6bf590b027cd7291280eb0,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/test_unseen/test_unseen.jsonl,text,101203,ea069639fe24b670ea74b72c83c1cd81311560ede0b502e317f1a940b5787af3,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/train/train.jsonl,text,398046,a37c26497168a377a1bc1d2bbecd172cf2fe22ff6b3566472b2e6b2d90df0bc5,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
data/scenarios/validation/validation.jsonl,text,80938,87e02d6379b9f52b0c2725d90997ba79509d35058e351392a69ee5e6e2d873ca,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
docs/architecture/final_system_architecture.md,text,642,ec17ecb5d362f70fc1e985fd56e645a31b505ae8ad9f6401012adefb06535474,utf8_content_and_contract_scan,REVIEWED,,audited; no historical content changed,false,assessed,assessed,assessed
docs/assets/stage5b4_final_live_perception.gif,binary,513061,a0da9e68e3e52c84638082383d01285e44ac68551e7536049a20b84c538dd6d7,git_blob_hash_and_size,REVIEWED,,audited; no historical content changed,true,assessed,assessed,assessed
