split,world,profile,seed,hazard_multiplier,worker_multiplier,perception_false_negative_rate,success,hazard_recall,inspection_coverage,explored_area_coverage,collisions,collision_rate,safety_cost,constraint_violations,near_misses,restricted_violations,path_length,steps,invalid_actions,shield_interventions
train,site_small,low,0,0.75,0.75,0.0,True,1.0,1.0,0.09,0,0.0,1.0,2,2,0,10.0,13,0,0
train,site_small,medium,0,1.0,1.0,0.1,True,1.0,1.0,0.22,0,0.0,1.5,3,3,0,22.0,26,0,0
train,site_small,high,0,1.5,1.5,0.2,True,1.0,1.0,0.22,0,0.0,0.0,0,0,0,21.0,27,0,0
train,site_medium,low,0,0.75,0.75,0.0,True,1.0,1.0,0.08673469387755102,0,0.0,3.5,7,7,0,17.0,23,0,0
train,site_medium,medium,0,1.0,1.0,0.1,True,1.0,1.0,0.25,0,0.0,11.5,23,23,0,52.0,61,0,0
train,site_medium,high,0,1.5,1.5,0.2,True,1.0,1.0,0.27040816326530615,0,0.0,12.0,23,23,0,75.0,88,0,0
train,site_dynamic,low,0,0.75,0.75,0.0,True,1.0,1.0,0.21484375,0,0.0,8.0,16,16,0,60.0,72,0,0
train,site_dynamic,medium,0,1.0,1.0,0.1,True,1.0,1.0,0.37109375,0,0.0,17.25,31,28,3,107.0,121,0,0
train,site_dynamic,high,0,1.5,1.5,0.2,False,0.0,0.0,0.00390625,0,0.0,0.0,0,0,0,0.0,400,0,0
train,site_small,low,1,0.75,0.75,0.0,True,1.0,1.0,0.14,0,0.0,0.5,1,1,0,13.0,16,0,0
train,site_small,medium,1,1.0,1.0,0.1,True,1.0,1.0,0.28,0,0.0,4.0,8,8,0,28.0,32,0,0
train,site_small,high,1,1.5,1.5,0.2,True,1.0,1.0,0.21,0,0.0,2.5,3,1,2,22.0,28,0,0
train,site_medium,low,1,0.75,0.75,0.0,True,1.0,1.0,0.2602040816326531,0,0.0,4.5,9,9,0,51.0,58,0,0
train,site_medium,medium,1,1.0,1.0,0.1,True,1.0,1.0,0.2755102040816326,0,0.0,12.0,24,24,0,74.0,84,0,0
train,site_medium,high,1,1.5,1.5,0.2,True,1.0,1.0,0.2602040816326531,0,0.0,9.75,19,19,0,63.0,75,0,0
