seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,84,2.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,7,0,False,False,0,0
5400,site_small,medium,True,1.0,1.0,79,2.25,2,0,11.900000117719173,11.900000117719173,11.900000117719173,11.900000117719173,0,0,0,0,0,0,3,0,False,False,0,0
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,16.75,23,6.0,47.5000005364418,53.5000005364418,,64.20000064373016,6,6,0,0,0,0,13,0,False,False,0,0
5400,site_medium,low,True,1.0,1.0,202,21.5,19,0,13.5,13.5,13.5,13.5,0,0,0,0,0,0,28,0,False,False,0,0
5400,site_medium,medium,True,1.0,1.0,256,20.25,14,2.0,38.60000038146973,40.60000038146973,40.60000038146973,40.60000038146973,2,0,2,0,0,0,16,0,False,False,0,0
5400,site_medium,high,False,0.3333333333333333,0.3333333333333333,300,4.5,8,0,64.00000089406967,64.00000089406967,,192.00000268220901,0,0,0,0,0,0,129,0,False,False,0,0
5400,site_dynamic,low,True,1.0,1.0,397,37.0,42,0,33.0,33.0,33.0,33.0,0,0,0,0,0,0,62,0,False,False,0,0
5400,site_dynamic,medium,True,1.0,1.0,265,34.5,26,0,47.50000039488077,47.50000039488077,47.50000039488077,47.50000039488077,0,0,0,0,0,0,28,0,False,False,0,0
5400,site_dynamic,high,False,0.8695652173913043,0.8695652173913043,400,25.0,21,3.0,96.0000011920929,99.05000119209289,,113.90750137090683,2,1,1,0,0,0,133,0,False,False,0,0
5401,site_small,low,True,1.0,1.0,51,2.0,4,1.0,1.5,2.5,2.5,2.5,1,0,1,0,0,0,3,0,False,False,0,0
5401,site_small,medium,True,1.0,1.0,83,2.0,3,0,9.200000114738941,9.200000114738941,9.200000114738941,9.200000114738941,0,0,0,0,0,0,3,0,False,False,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,14.0,13,0,16.5,16.5,,19.25,0,0,0,0,0,0,29,0,False,False,0,0
5401,site_medium,medium,True,1.0,1.0,210,28.5,25,1.0,35.000000312924385,36.000000312924385,36.000000312924385,36.000000312924385,1,0,1,0,0,0,24,0,False,False,0,0
5401,site_medium,high,True,1.0,1.0,228,42.25,60,10.0,79.60000067949295,89.70000067949294,89.70000067949294,89.70000067949294,9,4,5,0,0,0,24,0,False,False,0,0
5401,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,33.75,29,0,25.5,25.5,,27.81818181818182,0,0,0,0,0,0,48,0,False,False,0,0
5401,site_dynamic,medium,False,0.7333333333333333,0.7333333333333333,400,46.0,42,0,72.00000059604645,72.05000059604644,,98.25000081279062,0,0,0,0,0,0,36,0,False,False,0,0
5401,site_dynamic,high,False,0.7391304347826086,0.7391304347826086,400,67.0,65,2.0,126.5000011920929,128.5500011920929,,173.9205898481257,2,0,2,0,0,0,60,0,False,False,0,0
5402,site_small,low,True,1.0,1.0,41,2.5,3,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,3,0,False,False,0,0
5402,site_small,medium,True,1.0,1.0,42,1.5,2,0,6.100000061094761,6.150000061094761,6.150000061094761,6.150000061094761,0,0,0,0,0,0,2,0,False,False,0,0
5402,site_small,high,True,1.0,1.0,116,12.25,9,0,30.70000034570694,30.70000034570694,30.70000034570694,30.70000034570694,0,0,0,0,0,0,7,0,False,False,0,0
5402,site_medium,low,True,1.0,1.0,246,14.25,15,0,8.5,8.5,8.5,8.5,0,0,0,0,0,0,51,0,False,False,0,0
5402,site_medium,medium,False,0.9,0.9,300,18.25,10,0,38.000000447034836,38.000000447034836,,42.2222227189276,0,0,0,0,0,0,18,0,False,False,0,0
5402,site_medium,high,False,0.6666666666666666,0.6666666666666666,300,14.25,28,0,75.00000089406967,75.00000089406967,,112.50000134110451,0,0,0,0,0,0,97,0,False,False,0,0
5402,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,56.0,54,0,50.0,50.05,,54.6,0,0,0,0,0,0,69,0,False,False,0,0
5402,site_dynamic,medium,False,0.4,0.4,400,93.0,170,4.0,125.00000059604645,129.00000059604645,,322.5000014901161,3,0,3,0,0,0,193,0,False,False,0,0
5402,site_dynamic,high,False,0.9130434782608695,0.9130434782608695,400,35.5,48,2.0,106.0000011920929,108.05000119209289,,118.34047749610174,2,2,0,0,0,0,39,0,False,False,0,0
5403,site_small,low,False,0.6666666666666666,0.6666666666666666,180,1.25,2,0,2.0,2.0,,3.0,0,0,0,0,0,0,69,0,False,False,0,0
5403,site_small,medium,True,1.0,1.0,113,12.75,8,0,18.30000016838312,18.30000016838312,18.30000016838312,18.30000016838312,0,0,0,0,0,0,10,0,False,False,0,0
5403,site_small,high,True,1.0,1.0,93,6.0,8,0,24.600000277161598,24.600000277161598,24.600000277161598,24.600000277161598,0,0,0,0,0,0,9,0,False,False,0,0
5403,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,65.5,120,0,62.0,62.0,,108.5,0,0,0,0,0,0,116,0,False,False,0,0
5403,site_medium,medium,True,1.0,1.0,292,29.0,35,2.0,47.70000043511391,49.70000043511391,49.70000043511391,49.70000043511391,2,0,2,0,0,0,31,0,False,False,0,0
5403,site_medium,high,True,1.0,1.0,163,26.75,26,6.0,47.600000485777855,53.600000485777855,53.600000485777855,53.600000485777855,5,2,3,0,0,0,11,0,False,False,0,0
5403,site_dynamic,low,False,0.4166666666666667,0.4166666666666667,400,107.25,175,0,90.5,90.5,,217.2,0,0,0,0,0,0,172,0,False,False,0,0
5403,site_dynamic,medium,False,0.8,0.8,400,50.25,81,2.0,84.50000059604645,86.50000059604645,,108.12500074505806,2,2,0,0,0,0,125,0,True,True,0,0
