seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,77,0.75,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,5,0,False,False,0,0
5400,site_small,medium,True,1.0,1.0,117,3.25,0,0,14.700000174343586,14.700000174343586,14.700000174343586,14.700000174343586,0,0,0,0,0,0,8,0,False,False,0,0
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,2.75,0,0,37.0000005364418,37.0000005364418,,44.40000064373016,0,0,0,0,0,0,7,0,False,False,0,0
5400,site_medium,low,False,0.42857142857142855,0.42857142857142855,300,2.75,0,0,3.0,3.0,,7.0,0,0,0,0,0,0,58,0,False,False,0,0
5400,site_medium,medium,True,1.0,1.0,300,33.5,21,21.0,46.000000447034836,67.00000044703484,67.00000044703484,67.00000044703484,13,3,10,0,0,0,22,0,False,False,0,0
5400,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,13.25,0,0,67.00000089406967,67.00000089406967,,143.57143048729216,0,0,0,0,0,0,64,0,False,False,0,0
5400,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,13.25,0,0,9.0,9.0,,10.799999999999999,0,0,0,0,0,0,96,0,False,False,0,0
5400,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,20.0,14,14.0,66.00000059604645,80.00000059604645,,150.0000011175871,5,1,4,0,0,0,141,0,False,False,0,0
5400,site_dynamic,high,False,0.7391304347826086,0.7391304347826086,400,38.25,6,6.0,98.0000011920929,104.05000119209289,,140.77353102459628,6,3,3,0,0,0,122,0,False,False,0,0
5401,site_small,low,False,0.0,0.0,180,90.0,180,180.0,0,180.0,,,1,0,1,0,0,0,180,0,False,False,0,0
5401,site_small,medium,True,1.0,1.0,77,1.0,0,0,7.200000107288361,7.200000107288361,7.200000107288361,7.200000107288361,0,0,0,0,0,0,12,0,False,False,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,2.75,0,0,7.0,7.0,,8.166666666666668,0,0,0,0,0,0,49,0,False,False,0,0
5401,site_medium,medium,False,0.6,0.6,300,4.0,0,0,34.000000447034836,34.000000447034836,,56.66666741172473,0,0,0,0,0,0,29,0,False,False,0,0
