seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops,shield_rejection_reasons
5400,site_small,low,True,1.0,1.0,84,2.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,7,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 6}"
5400,site_small,medium,True,1.0,1.0,31,1.75,3,0,5.6000000461936,5.6000000461936,5.6000000461936,5.6000000461936,0,0,0,0,0,0,10,0,False,False,0,0,"{""future_collision_risk"": 2, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 2, ""restricted_zone"": 1, ""unconfirmed_human_clearance"": 9}"
5400,site_small,high,True,1.0,1.0,168,22.25,27,6.0,49.100000500679016,55.100000500679016,55.100000500679016,55.100000500679016,5,3,2,0,0,0,23,0,False,False,0,0,"{""dynamic_hazard_prediction"": 2, ""future_collision_risk"": 9, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 7, ""human_near_miss_exposure"": 6, ""restricted_zone"": 4, ""unconfirmed_human_clearance"": 19}"
5400,site_medium,low,True,1.0,1.0,222,19.0,25,0,18.5,18.5,18.5,18.5,0,0,0,0,0,0,31,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 18, ""future_restricted_zone_risk"": 4, ""human_clearance_breach"": 17, ""human_near_miss_exposure"": 19, ""restricted_zone"": 14}"
5400,site_medium,medium,True,1.0,1.0,221,24.75,17,1.0,37.10000032931566,38.10000032931566,38.10000032931566,38.10000032931566,1,0,1,0,0,0,30,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 17, ""future_restricted_zone_risk"": 5, ""human_clearance_breach"": 2, ""human_near_miss_exposure"": 1, ""restricted_zone"": 13, ""unconfirmed_human_clearance"": 17}"
5400,site_medium,high,True,1.0,1.0,227,22.25,30,2.0,67.40000067651272,69.45000067651272,69.45000067651272,69.45000067651272,1,1,0,0,0,0,40,0,False,False,0,0,"{""dynamic_hazard_prediction"": 2, ""future_collision_risk"": 23, ""future_human_clearance_risk"": 3, ""human_clearance_breach"": 16, ""human_near_miss_exposure"": 21, ""restricted_zone"": 7, ""unconfirmed_human_clearance"": 33}"
5400,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,58.25,51,0,34.5,34.5,,37.63636363636364,0,0,0,0,0,0,76,0,False,False,0,0,"{""dynamic_hazard_prediction"": 24, ""future_collision_risk"": 18, ""future_human_clearance_risk"": 2, ""future_restricted_zone_risk"": 19, ""human_clearance_breach"": 35, ""human_near_miss_exposure"": 51, ""restricted_zone"": 41}"
5400,site_dynamic,medium,False,0.3333333333333333,0.3333333333333333,400,2.0,3,0,43.50000059604645,43.50000059604645,,130.50000178813934,0,0,0,0,0,0,13,0,False,False,0,0,"{""future_collision_risk"": 4, ""future_human_clearance_risk"": 2, ""human_clearance_breach"": 2, ""human_near_miss_exposure"": 5, ""restricted_zone"": 3, ""unconfirmed_human_clearance"": 10}"
5400,site_dynamic,high,False,0.8695652173913043,0.8695652173913043,400,33.0,24,4.0,105.0000011920929,109.05000119209289,,125.40750137090683,3,1,2,0,0,0,47,0,False,False,0,0,"{""dynamic_hazard_prediction"": 8, ""future_collision_risk"": 30, ""future_human_clearance_risk"": 14, ""future_restricted_zone_risk"": 1, ""human_clearance_breach"": 7, ""human_near_miss_exposure"": 24, ""restricted_zone"": 26, ""unconfirmed_human_clearance"": 21}"
5401,site_small,low,True,1.0,1.0,55,4.0,6,1.0,2.5,3.5,3.5,3.5,1,0,1,0,0,0,5,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_clearance_breach"": 5, ""human_near_miss_exposure"": 4}"
5401,site_small,medium,True,1.0,1.0,38,1.25,2,0,5.400000050663948,5.400000050663948,5.400000050663948,5.400000050663948,0,0,0,0,0,0,13,0,False,False,0,0,"{""future_collision_risk"": 5, ""future_restricted_zone_risk"": 2, ""human_near_miss_exposure"": 1, ""restricted_zone"": 2, ""unconfirmed_human_clearance"": 13}"
5401,site_small,high,True,1.0,1.0,33,1.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,14,0,False,False,0,0,"{""unconfirmed_human_clearance"": 14}"
