seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,82,1.5,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,False,False,0,0
5400,site_small,medium,True,1.0,1.0,53,1.75,0,0,8.300000078976154,8.300000078976154,8.300000078976154,8.300000078976154,0,0,0,0,0,0,4,0,False,False,0,0
5400,site_small,high,True,1.0,1.0,111,4.0,1,1.0,24.20000033080578,25.20000033080578,25.20000033080578,25.20000033080578,1,1,0,0,0,0,4,0,False,False,0,0
5400,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,7.25,0,0,3.0,3.0,,5.25,0,0,0,0,0,0,107,0,False,False,0,0
5400,site_medium,medium,False,0.9,0.9,300,23.0,12,12.0,44.000000447034836,56.000000447034836,,62.2222227189276,7,2,5,0,0,0,28,0,False,False,0,0
5400,site_medium,high,False,0.6,0.6,300,8.5,0,0,63.00000089406967,63.05000089406967,,105.08333482344945,0,0,0,0,0,0,32,0,False,False,0,0
5400,site_dynamic,low,False,0.75,0.75,400,28.5,0,0,20.0,20.0,,26.666666666666668,0,0,0,0,0,0,174,0,False,False,0,0
5400,site_dynamic,medium,False,0.3333333333333333,0.3333333333333333,400,1.75,0,0,43.00000059604645,43.00000059604645,,129.00000178813934,0,0,0,0,0,0,12,0,False,False,0,0
5400,site_dynamic,high,False,0.43478260869565216,0.43478260869565216,400,142.0,175,175.0,247.0000011920929,422.0500011920929,,970.7150027418137,169,1,168,0,0,0,0,0,False,False,0,0
5401,site_small,low,True,1.0,1.0,59,1.0,2,2.0,0,2.0,2.0,2.0,1,0,1,0,0,0,6,0,False,False,0,0
5401,site_small,medium,True,1.0,1.0,104,2.5,0,0,9.80000014603138,9.80000014603138,9.80000014603138,9.80000014603138,0,0,0,0,0,0,12,0,False,False,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,9.0,0,0,6.0,6.0,,7.0,0,0,0,0,0,0,56,0,False,False,0,0
