seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops,shield_rejection_reasons
5400,site_small,low,True,1.0,1.0,84,2.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,7,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 6}"
5400,site_small,medium,True,1.0,1.0,31,1.75,3,0,5.6000000461936,5.6000000461936,5.6000000461936,5.6000000461936,0,0,0,0,0,0,10,0,False,False,0,0,"{""future_collision_risk"": 2, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 2, ""restricted_zone"": 1, ""unconfirmed_human_clearance"": 9}"
5400,site_small,high,True,1.0,1.0,98,12.0,8,3.0,26.10000029206276,29.10000029206276,29.10000029206276,29.10000029206276,2,1,1,0,0,0,16,0,False,False,0,0,"{""dynamic_hazard_prediction"": 2, ""future_collision_risk"": 3, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 2, ""human_near_miss_exposure"": 2, ""restricted_zone"": 2, ""unconfirmed_human_clearance"": 14}"
5400,site_medium,low,True,1.0,1.0,238,17.75,24,0,19.0,19.0,19.0,19.0,0,0,0,0,0,0,29,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 19, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 16, ""human_near_miss_exposure"": 16, ""restricted_zone"": 13}"
5400,site_medium,medium,False,0.8,0.8,300,22.25,12,2.0,72.00000044703484,74.00000044703484,,92.50000055879354,2,0,2,0,0,0,88,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 76, ""future_restricted_zone_risk"": 1, ""restricted_zone"": 75, ""unconfirmed_human_clearance"": 14}"
5400,site_medium,high,True,1.0,1.0,172,14.25,21,4.0,48.900000512599945,52.95000051259994,52.95000051259994,52.95000051259994,3,1,2,0,0,0,33,0,False,False,0,0,"{""dynamic_hazard_prediction"": 2, ""future_collision_risk"": 23, ""future_human_clearance_risk"": 6, ""future_restricted_zone_risk"": 1, ""human_clearance_breach"": 8, ""human_near_miss_exposure"": 17, ""restricted_zone"": 5, ""unconfirmed_human_clearance"": 29}"
5400,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,55.5,50,0,35.0,35.0,,38.18181818181818,0,0,0,0,0,0,75,0,False,False,0,0,"{""dynamic_hazard_prediction"": 21, ""future_collision_risk"": 18, ""future_human_clearance_risk"": 2, ""future_restricted_zone_risk"": 20, ""human_clearance_breach"": 35, ""human_near_miss_exposure"": 51, ""restricted_zone"": 40}"
5400,site_dynamic,medium,False,0.3333333333333333,0.3333333333333333,400,1.5,2,0,43.00000059604645,43.00000059604645,,129.00000178813934,0,0,0,0,0,0,12,0,False,False,0,0,"{""future_collision_risk"": 4, ""future_human_clearance_risk"": 2, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 4, ""restricted_zone"": 3, ""unconfirmed_human_clearance"": 9}"
5400,site_dynamic,high,True,1.0,1.0,284,46.75,58,7.0,95.30000084638596,102.40000084638595,102.40000084638595,102.40000084638595,6,2,4,0,0,0,38,0,False,False,0,0,"{""dynamic_hazard_prediction"": 7, ""future_collision_risk"": 30, ""future_human_clearance_risk"": 3, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 16, ""human_near_miss_exposure"": 22, ""restricted_zone"": 10, ""unconfirmed_human_clearance"": 28}"
5401,site_small,low,True,1.0,1.0,55,4.0,6,1.0,2.5,3.5,3.5,3.5,1,0,1,0,0,0,5,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_clearance_breach"": 5, ""human_near_miss_exposure"": 4}"
5401,site_small,medium,True,1.0,1.0,38,1.25,2,0,5.400000050663948,5.400000050663948,5.400000050663948,5.400000050663948,0,0,0,0,0,0,13,0,False,False,0,0,"{""future_collision_risk"": 5, ""future_restricted_zone_risk"": 2, ""human_near_miss_exposure"": 1, ""restricted_zone"": 2, ""unconfirmed_human_clearance"": 13}"
5401,site_small,high,True,1.0,1.0,33,1.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,14,0,False,False,0,0,"{""unconfirmed_human_clearance"": 14}"
