seed,world,profile,success,hazard_recall,coverage,collision_rate,collisions,safety_cost,constraint_violations,steps,invalid_actions,shield_interventions
5500,site_small,low,True,1.0,1.0,0.0,0,13.25,20,111,0,0
5500,site_small,medium,True,1.0,1.0,0.0,0,5.5,9,57,0,0
5500,site_small,high,True,1.0,1.0,0.0,0,9.25,12,78,0,0
5500,site_medium,low,True,1.0,1.0,0.0,0,24.75,41,138,0,2
5500,site_medium,medium,True,1.0,1.0,0.0,0,15.5,28,87,0,2
5500,site_medium,high,False,0.8,0.8,0.0,0,65.75,120,300,0,10
5500,site_dynamic,low,False,0.75,0.75,0.0,0,46.0,85,400,0,11
5500,site_dynamic,medium,True,1.0,1.0,0.0,0,51.0,81,341,0,12
5500,site_dynamic,high,True,1.0,1.0,0.0,0,52.75,90,269,0,3
5501,site_small,low,False,0.6666666666666666,0.6666666666666666,0.0,0,3.0,6,180,0,0
5501,site_small,medium,True,1.0,1.0,0.0,0,9.25,13,116,0,0
5501,site_small,high,True,1.0,1.0,0.0,0,7.5,14,71,0,1
5501,site_medium,low,True,1.0,1.0,0.0,0,23.5,36,116,0,1
5501,site_medium,medium,True,1.0,1.0,0.0,0,34.75,58,201,0,5
5501,site_medium,high,True,1.0,1.0,0.0,0,47.5,82,255,0,1
5501,site_dynamic,low,False,0.6666666666666666,0.6666666666666666,0.0,0,84.75,162,400,0,75
5501,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,0.0,0,86.25,135,400,0,5
5501,site_dynamic,high,False,0.9565217391304348,0.9565217391304348,0.0,0,62.5,117,400,0,22
5502,site_small,low,True,1.0,1.0,0.0,0,3.0,5,43,0,2
5502,site_small,medium,True,1.0,1.0,0.0,0,9.5,14,57,0,0
5502,site_small,high,True,1.0,1.0,0.0,0,10.25,17,94,0,1
5502,site_medium,low,True,1.0,1.0,0.0,0,45.5,77,250,0,2
5502,site_medium,medium,True,1.0,1.0,0.0,0,52.75,81,287,0,0
5502,site_medium,high,False,0.9333333333333333,0.9333333333333333,0.0,0,23.5,36,300,0,5
5502,site_dynamic,low,True,1.0,1.0,0.0,0,77.75,127,351,0,4
5502,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,0.0,0,67.25,116,400,0,6
5502,site_dynamic,high,False,0.9565217391304348,0.9565217391304348,0.0,0,84.25,152,400,0,22
5503,site_small,low,True,1.0,1.0,0.0,0,0.0,0,6,0,0
5503,site_small,medium,True,1.0,1.0,0.0,0,2.5,5,54,0,0
5503,site_small,high,True,1.0,1.0,0.0,0,7.75,14,49,0,0
5503,site_medium,low,True,1.0,1.0,0.0,0,36.75,56,238,0,0
5503,site_medium,medium,True,1.0,1.0,0.0,0,12.75,20,189,0,0
5503,site_medium,high,True,1.0,1.0,0.0,0,48.5,84,237,0,4
5503,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,0.0,0,38.0,60,400,0,22
5503,site_dynamic,medium,True,1.0,1.0,0.0,0,76.0,120,400,0,13
5503,site_dynamic,high,False,0.8260869565217391,0.8260869565217391,0.0,0,84.25,147,400,0,29
5504,site_small,low,True,1.0,1.0,0.0,0,1.5,2,24,0,0
5504,site_small,medium,True,1.0,1.0,0.0,0,4.0,6,33,0,0
5504,site_small,high,True,1.0,1.0,0.0,0,9.75,16,98,0,4
5504,site_medium,low,True,1.0,1.0,0.0,0,31.0,54,192,0,1
5504,site_medium,medium,True,1.0,1.0,0.0,0,11.75,19,87,0,2
5504,site_medium,high,True,1.0,1.0,0.0,0,19.75,35,123,0,2
5504,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,0.0,0,70.75,110,400,0,15
5504,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,0.0,0,95.25,176,400,0,23
5504,site_dynamic,high,False,0.7391304347826086,0.7391304347826086,0.0,0,68.5,118,400,0,14
5505,site_small,low,True,1.0,1.0,0.0,0,16.0,28,115,0,5
5505,site_small,medium,True,1.0,1.0,0.0,0,5.5,6,70,0,0
