episode_id,world,profile,seed,steps,success,legacy_raw_safety_cost,collision_steps,restricted_dwell_steps,worker_near_miss_steps,dynamic_hazard_proximity_steps,controlled_inspection_exposure_steps,uncontrolled_ppe_exposure_steps,emergency_stop_steps,shield_intervention_steps,legacy_constraint_count
site_small:low:5400,site_small,low,5400,25,True,2.5,0,1,0,3,0,0,0,0,4
site_small:medium:5400,site_small,medium,5400,35,True,3.25,0,1,4,0,0,1,0,0,5
site_small:high:5400,site_small,high,5400,102,True,15.75,0,3,15,9,0,3,0,0,27
site_medium:low:5400,site_medium,low,5400,300,False,45.75,0,13,30,36,0,7,0,10,75
site_medium:medium:5400,site_medium,medium,5400,240,True,28.0,0,6,23,15,0,12,0,0,44
site_medium:high:5400,site_medium,high,5400,300,False,126.75,0,2,248,3,0,1,0,112,251
site_dynamic:low:5400,site_dynamic,low,5400,263,True,42.75,0,9,41,29,0,7,0,3,73
site_dynamic:medium:5400,site_dynamic,medium,5400,400,False,76.5,0,15,77,46,0,6,0,20,135
site_dynamic:high:5400,site_dynamic,high,5400,280,True,74.25,0,10,89,42,2,5,0,3,135
site_small:low:5401,site_small,low,5401,87,True,9.0,0,0,9,9,0,0,0,0,18
site_small:medium:5401,site_small,medium,5401,73,True,8.5,0,2,6,7,0,0,0,0,15
site_small:high:5401,site_small,high,5401,33,True,0.5,0,0,0,1,0,0,0,0,1
site_medium:low:5401,site_medium,low,5401,300,False,0.0,0,0,0,0,0,0,0,121,0
site_medium:medium:5401,site_medium,medium,5401,100,True,20.5,0,3,22,14,0,2,0,2,37
site_medium:high:5401,site_medium,high,5401,271,True,52.0,0,12,64,18,0,4,0,9,90
site_dynamic:low:5401,site_dynamic,low,5401,208,True,28.25,0,8,21,19,0,5,0,5,46
site_dynamic:medium:5401,site_dynamic,medium,5401,400,False,75.5,0,20,66,51,0,6,0,34,128
site_dynamic:high:5401,site_dynamic,high,5401,294,True,58.0,0,8,73,34,1,5,0,8,105
site_small:low:5402,site_small,low,5402,74,True,10.0,0,3,5,9,0,0,0,0,17
site_small:medium:5402,site_small,medium,5402,60,True,2.0,0,1,1,1,0,0,0,2,3
site_small:high:5402,site_small,high,5402,53,True,9.5,0,2,11,4,0,0,0,2,17
site_medium:low:5402,site_medium,low,5402,100,True,17.0,0,7,9,12,0,2,0,0,26
site_medium:medium:5402,site_medium,medium,5402,300,False,29.5,0,12,11,21,0,8,0,4,43
site_medium:high:5402,site_medium,high,5402,136,True,18.0,0,5,16,8,0,4,0,1,29
site_dynamic:low:5402,site_dynamic,low,5402,400,False,72.75,0,14,72,52,0,7,0,19,128
site_dynamic:medium:5402,site_dynamic,medium,5402,400,False,65.0,0,32,47,24,0,4,0,7,96
site_dynamic:high:5402,site_dynamic,high,5402,320,True,55.0,0,12,62,27,0,8,0,17,94
site_small:low:5403,site_small,low,5403,57,True,5.25,0,1,6,2,0,1,0,0,9
site_small:medium:5403,site_small,medium,5403,131,True,19.25,0,7,14,9,0,3,0,1,30
site_small:high:5403,site_small,high,5403,87,True,8.75,0,3,8,3,1,2,0,0,13
site_medium:low:5403,site_medium,low,5403,91,True,16.0,0,3,14,11,0,6,0,3,26
site_medium:medium:5403,site_medium,medium,5403,211,True,28.25,0,6,24,23,0,3,0,0,49
site_medium:high:5403,site_medium,high,5403,199,True,36.5,0,8,40,21,0,4,0,2,63
site_dynamic:low:5403,site_dynamic,low,5403,400,False,56.25,0,12,50,22,0,47,0,8,77
site_dynamic:medium:5403,site_dynamic,medium,5403,400,False,78.75,0,19,73,52,0,9,0,31,134
site_dynamic:high:5403,site_dynamic,high,5403,348,True,78.0,0,12,102,43,0,6,0,11,141
site_small:low:5404,site_small,low,5404,129,True,15.5,0,5,17,2,0,4,0,0,24
